Cluster,feature,term,df,sumsq,meansq,statistic,p.value,p.adjusted
C15,cluster_fraction_total_CD19+,CodeID,20,0.08851683395033619,0.00442584169751681,5.658578023807768,1.0391757443388934e-9,2.398097871551292e-9
C15,cluster_fraction_total_CD19+,Residuals,108,0.08447191172777468,7.821473308127285e-4,NA,NA,NA
C15,RBD+S1+_fraction,timepoint,9,0.001421973471662916,1.5799705240699067e-4,1.0216397993815818,0.4275556455774489,0.7683666361911697
C15,RBD+S1+_fraction,CodeID,20,0.002136056196287022,1.068028098143511e-4,0.6906078279932207,0.827800429983359,0.827800429983359
C15,RBD+S1+_fraction,Residuals,108,0.016702248356303236,1.5465044774354847e-4,NA,NA,NA
C16,cluster_fraction_total_CD19+,timepoint,9,0.004768697472115488,5.298552746794986e-4,2.1722622208329567,0.027084384036943087,0.036933250959467846
C16,cluster_fraction_total_CD19+,CodeID,20,0.04831376908496835,0.0024156884542484176,9.90366429708629,1.3298740767967812e-18,4.199602347779309e-18
C16,cluster_fraction_total_CD19+,Residuals,147,0.03585604197821926,2.439186529130562e-4,NA,NA,NA
C16,RBD+S1+_fraction,timepoint,9,0,0,NA,NA,NA
C16,RBD+S1+_fraction,CodeID,20,0,0,NA,NA,NA
C16,RBD+S1+_fraction,Residuals,147,0,0,NA,NA,NA
C17,cluster_fraction_total_CD19+,timepoint,9,0.003270277268571557,3.6336414095239524e-4,2.7204563604264305,0.0058139189210173895,0.008720878381526085
C17,cluster_fraction_total_CD19+,CodeID,20,0.013473413795465862,6.736706897732931e-4,5.043677970046909,2.4076469342855887e-9,5.350326520634641e-9
C17,cluster_fraction_total_CD19+,Residuals,147,0.01963440013117115,1.3356734783109627e-4,NA,NA,NA
C17,RBD+S1+_fraction,timepoint,9,0,0,NA,NA,NA
C17,RBD+S1+_fraction,CodeID,20,0,0,NA,NA,NA
C17,RBD+S1+_fraction,Residuals,147,0,0,NA,NA,NA
C18,cluster_fraction_total_CD19+,timepoint,9,4.823448132240674e-5,5.359386813600749e-6,1.41815511254014,0.1852006368472802,0.2136930425160925
C18,cluster_fraction_total_CD19+,CodeID,20,0.0019035652460580813,9.517826230290406e-5,25.185257937533358,1.0487591956340442e-37,5.243795978170221e-37
C18,cluster_fraction_total_CD19+,Residuals,147,5.555315174150324e-4,3.7791259688097446e-6,NA,NA,NA
C18,RBD+S1+_fraction,timepoint,9,0,0,NA,NA,NA
C18,RBD+S1+_fraction,CodeID,20,0,0,NA,NA,NA
C18,RBD+S1+_fraction,Residuals,147,0,0,NA,NA,NA
C19,cluster_fraction_total_CD19+,timepoint,9,0.02915491488239697,0.0032394349869329965,5.750170228162701,7.909919666524736e-7,1.5819839333049472e-6
C19,cluster_fraction_total_CD19+,CodeID,20,0.3438294707757073,0.017191473538785366,30.515784301805823,2.148772920977435e-42,1.6115796907330762e-41
C19,cluster_fraction_total_CD19+,Residuals,147,0.08281440795385032,5.633633194139478e-4,NA,NA,NA
C19,RBD+S1+_fraction,timepoint,9,1.0575306568244467e-6,1.1750340631382741e-7,0.7426897328976358,0.6692752499708274,0.7696665374664515
C19,RBD+S1+_fraction,CodeID,20,2.316761015117675e-6,1.1583805075588375e-7,0.732163719113785,0.7879121778340473,0.8237263677355949
C19,RBD+S1+_fraction,Residuals,147,2.325735763269714e-5,1.5821331722923224e-7,NA,NA,NA
C20,cluster_fraction_total_CD19+,timepoint,9,4.802940250958315e-5,5.336600278842572e-6,1.9705352461710897,0.04662226191345258,0.05951778116610968
C20,cluster_fraction_total_CD19+,CodeID,20,1.0697537715266786e-4,5.348768857633393e-6,1.9750284838411825,0.011507720630367356,0.016439600900524796
C20,cluster_fraction_total_CD19+,Residuals,147,3.9810515570029364e-4,2.7081983380972354e-6,NA,NA,NA
C20,RBD+S1+_fraction,timepoint,9,8.968428385501808e-6,9.964920428335343e-7,1.0383955366343585,0.4123927321509293,0.7683666361911697
C20,RBD+S1+_fraction,CodeID,20,1.7673231793208222e-5,8.836615896604111e-7,0.9208204492927174,0.5617162190181465,0.7696665374664515
C20,RBD+S1+_fraction,Residuals,147,1.4106795063017477e-4,9.596459226542502e-7,NA,NA,NA
C21,cluster_fraction_total_CD19+,timepoint,9,0.002217040037402561,2.463377819336179e-4,1.8108204299173472,0.07077728179507918,0.08847160224384898
C21,cluster_fraction_total_CD19+,CodeID,20,0.02712762536038084,0.001356381268019042,9.970711320068451,1.0255127132935028e-18,3.418375710978343e-18
C21,cluster_fraction_total_CD19+,Residuals,147,0.019997374309441977,1.360365599281767e-4,NA,NA,NA
C21,RBD+S1+_fraction,timepoint,9,1.2956736873071405e-5,1.4396374303412672e-6,1.2144567015733005,0.29031932802545807,0.6361202595529182
C21,RBD+S1+_fraction,CodeID,20,2.6987041318682038e-5,1.3493520659341018e-6,1.1382933124119912,0.3175738318651291,0.6361202595529182
C21,RBD+S1+_fraction,Residuals,147,1.742562760664985e-4,1.1854168439897859e-6,NA,NA,NA
C22,cluster_fraction_total_CD19+,timepoint,9,4.864557746832922e-5,5.405064163147691e-6,0.8487225942670968,0.5726389035506352,0.5726389035506352
C22,cluster_fraction_total_CD19+,CodeID,20,0.026630568258904988,0.0013315284129452494,209.08137532952406,7.694297488759651e-97,4.6165784932557906e-95
C22,cluster_fraction_total_CD19+,Residuals,146,9.297965827114734e-4,6.368469744599132e-6,NA,NA,NA
C22,RBD+S1+_fraction,timepoint,9,2.913752913752916e-5,3.23750323750324e-6,0.8522487636672963,0.5694687468005859,0.7696665374664515
C22,RBD+S1+_fraction,CodeID,20,6.99676037313617e-5,3.498380186568085e-6,0.9209226895291504,0.5616015014492262,0.7696665374664515
C22,RBD+S1+_fraction,Residuals,146,5.546214823961865e-4,3.798777276686209e-6,NA,NA,NA
C23,cluster_fraction_total_CD19+,timepoint,9,5.011670836732018e-5,5.568523151924464e-6,1.628188774784466,0.11216470663515783,0.1345976479621894
C23,cluster_fraction_total_CD19+,CodeID,20,0.0019441656821358034,9.720828410679017e-5,28.422874913258855,1.2377003242624957e-40,7.426201945574973e-40
C23,cluster_fraction_total_CD19+,Residuals,147,5.027506122201684e-4,3.4200721919739347e-6,NA,NA,NA
C23,RBD+S1+_fraction,timepoint,9,1.3875352306843753e-4,1.541705811871528e-5,0.805067469027109,0.6122103247123608,0.7696665374664515
C23,RBD+S1+_fraction,CodeID,20,3.0275915243834953e-4,1.5137957621917477e-5,0.7904930457596472,0.7217704922643842,0.7905105391467065
C23,RBD+S1+_fraction,Residuals,147,0.002815052937351805,1.9150019981985065e-5,NA,NA,NA
C24,cluster_fraction_total_CD19+,timepoint,9,1.8628193016571224e-5,2.0697992240634692e-6,1.296210020769422,0.24360591947055166,0.2657519121496927
C24,cluster_fraction_total_CD19+,CodeID,20,5.210116116124079e-4,2.6050580580620394e-5,16.314154147361887,5.479896660535086e-28,2.0549612477006575e-27
C24,cluster_fraction_total_CD19+,Residuals,147,2.3473085461623178e-4,1.5968085348042977e-6,NA,NA,NA
C24,RBD+S1+_fraction,timepoint,9,4.7236993016147035e-4,5.2485547795718925e-5,1.1704949783783973,0.3180601297764591,0.6361202595529182
C24,RBD+S1+_fraction,CodeID,20,8.81689569665155e-4,4.408447848325775e-5,0.9831403663713423,0.48579315224448383,0.7696665374664515
C24,RBD+S1+_fraction,Residuals,147,0.006591549445739234,4.484047241999479e-5,NA,NA,NA
C25,cluster_fraction_total_CD19+,timepoint,9,0.0015922478350938094,1.7691642612153438e-4,1.2170244890075672,0.2887560643471921,0.3039537519444127
C25,cluster_fraction_total_CD19+,CodeID,20,0.08052772009016135,0.004026386004508067,27.697882424537593,5.315955200922244e-40,2.899611927775769e-39
C25,cluster_fraction_total_CD19+,Residuals,147,0.021369097232441844,1.4536800838395813e-4,NA,NA,NA
C25,RBD+S1+_fraction,timepoint,9,7.637262710267247e-6,8.485847455852496e-7,1.0105353438222853,0.4342941856732699,0.7683666361911697
C25,RBD+S1+_fraction,CodeID,20,1.3595597847733338e-5,6.797798923866669e-7,0.8095144425471241,0.6990890493545718,0.7843438114709831
C25,RBD+S1+_fraction,Residuals,147,1.2344145938449142e-4,8.397378189421185e-7,NA,NA,NA
C26,cluster_fraction_total_CD19+,timepoint,9,6.435189846604381e-4,7.150210940671534e-5,1.7850947413082578,0.07560863180335858,0.09258199812656154
C26,cluster_fraction_total_CD19+,CodeID,20,0.017999295509107425,8.999647754553712e-4,22.46818172719767,5.022324195514796e-35,2.3179957825452903e-34
C26,cluster_fraction_total_CD19+,Residuals,147,0.005888096491217047,4.0055078171544536e-5,NA,NA,NA
C26,RBD+S1+_fraction,timepoint,9,3.44572951822425e-7,3.8285883535825e-8,0.8108744188657268,0.6069165375697083,0.7696665374664515
